tenure,Contract,MonthlyCharges,PaymentMethod,InternetService,OnlineSecurity,TechSupport,Churn_Probability,Risk_Segment,Action_Plan
1,Month-to-month,29.85,Electronic check,DSL,No,No,0.78,🔴 High Risk,🚀 Onboarding: Assign dedicated support for first 90 days | 📄 Retention: Offer 20% discount to switch to annual plan | 🔒 Upsell: Offer free 1-month OnlineSecurity trial | 🛠️ Support: Proactively reach out with free TechSupport session | 💳 Payment: Incentivize switch to auto-pay (e.g. $5 bill credit) | 🔴 URGENT: Flag for immediate customer success team outreach
34,One year,56.95,Mailed check,DSL,Yes,No,0.0,🟢 Low Risk,🛠️ Support: Proactively reach out with free TechSupport session
2,Month-to-month,53.85,Mailed check,DSL,Yes,No,1.0,🔴 High Risk,🚀 Onboarding: Assign dedicated support for first 90 days | 📄 Retention: Offer 20% discount to switch to annual plan | 🛠️ Support: Proactively reach out with free TechSupport session | 🔴 URGENT: Flag for immediate customer success team outreach
45,One year,42.3,Bank transfer (automatic),DSL,Yes,Yes,0.03,🟢 Low Risk,✅ No action needed
2,Month-to-month,70.7,Electronic check,Fiber optic,No,No,1.0,🔴 High Risk,🚀 Onboarding: Assign dedicated support for first 90 days | 📄 Retention: Offer 20% discount to switch to annual plan | 💰 Pricing: Offer loyalty discount or bundle deal | 🔒 Upsell: Offer free 1-month OnlineSecurity trial | 🛠️ Support: Proactively reach out with free TechSupport session | 💳 Payment: Incentivize switch to auto-pay (e.g. $5 bill credit) | 🔴 URGENT: Flag for immediate customer success team outreach
8,Month-to-month,99.65,Electronic check,Fiber optic,No,No,0.99,🔴 High Risk,📄 Retention: Offer 20% discount to switch to annual plan | 💰 Pricing: Offer loyalty discount or bundle deal | 🔒 Upsell: Offer free 1-month OnlineSecurity trial | 🛠️ Support: Proactively reach out with free TechSupport session | 💳 Payment: Incentivize switch to auto-pay (e.g. $5 bill credit) | 🔴 URGENT: Flag for immediate customer success team outreach
22,Month-to-month,89.1,Credit card (automatic),Fiber optic,No,No,0.62,🟡 Medium Risk,📄 Retention: Offer 20% discount to switch to annual plan | 💰 Pricing: Offer loyalty discount or bundle deal | 🔒 Upsell: Offer free 1-month OnlineSecurity trial | 🛠️ Support: Proactively reach out with free TechSupport session
10,Month-to-month,29.75,Mailed check,DSL,Yes,No,0.07,🟢 Low Risk,📄 Retention: Offer 20% discount to switch to annual plan | 🛠️ Support: Proactively reach out with free TechSupport session
28,Month-to-month,104.8,Electronic check,Fiber optic,No,Yes,0.96,🔴 High Risk,📄 Retention: Offer 20% discount to switch to annual plan | 💰 Pricing: Offer loyalty discount or bundle deal | 🔒 Upsell: Offer free 1-month OnlineSecurity trial | 💳 Payment: Incentivize switch to auto-pay (e.g. $5 bill credit) | 🔴 URGENT: Flag for immediate customer success team outreach
62,One year,56.15,Bank transfer (automatic),DSL,Yes,No,0.08,🟢 Low Risk,🛠️ Support: Proactively reach out with free TechSupport session
13,Month-to-month,49.95,Mailed check,DSL,Yes,No,0.03,🟢 Low Risk,📄 Retention: Offer 20% discount to switch to annual plan | 🛠️ Support: Proactively reach out with free TechSupport session
16,Two year,18.95,Credit card (automatic),No,No internet service,No internet service,0.0,🟢 Low Risk,✅ No action needed
58,One year,100.35,Credit card (automatic),Fiber optic,No,No,0.34,🟢 Low Risk,💰 Pricing: Offer loyalty discount or bundle deal | 🔒 Upsell: Offer free 1-month OnlineSecurity trial | 🛠️ Support: Proactively reach out with free TechSupport session
49,Month-to-month,103.7,Bank transfer (automatic),Fiber optic,No,No,0.95,🔴 High Risk,📄 Retention: Offer 20% discount to switch to annual plan | 💰 Pricing: Offer loyalty discount or bundle deal | 🔒 Upsell: Offer free 1-month OnlineSecurity trial | 🛠️ Support: Proactively reach out with free TechSupport session | 🔴 URGENT: Flag for immediate customer success team outreach
25,Month-to-month,105.5,Electronic check,Fiber optic,Yes,Yes,0.22,🟢 Low Risk,📄 Retention: Offer 20% discount to switch to annual plan | 💰 Pricing: Offer loyalty discount or bundle deal | 💳 Payment: Incentivize switch to auto-pay (e.g. $5 bill credit)
69,Two year,113.25,Credit card (automatic),Fiber optic,Yes,Yes,0.11,🟢 Low Risk,💰 Pricing: Offer loyalty discount or bundle deal
52,One year,20.65,Mailed check,No,No internet service,No internet service,0.01,🟢 Low Risk,✅ No action needed
71,Two year,106.7,Bank transfer (automatic),Fiber optic,Yes,No,0.08,🟢 Low Risk,💰 Pricing: Offer loyalty discount or bundle deal | 🛠️ Support: Proactively reach out with free TechSupport session
